percentile,threshold,in_scope_escalated_pct,oos_caught_pct,oos_missed_pct
3,0.2002447947632422,3.7012987012987013,87.2,12.8
5,0.23385052869815756,5.844155844155844,90.3,9.699999999999998
8,0.279420981981777,8.311688311688311,93.60000000000001,6.399999999999995
10,0.3027993043197339,10.227272727272728,94.5,5.500000000000005
15,0.36239535713652465,14.285714285714285,96.39999999999999,3.600000000000003
20,0.4369591245522505,20.681818181818183,97.6,2.400000000000002
